"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"43","Jefferson","None, Federalist","Postmaster General","Joseph Habersham","Habersham","1801-03-03","1801-11-28","","","","Princeton University (grad.)","1","","","1","","col.","Revolutionary War","Army","1","0","0","0","pa","pa","","","","","","","","","","",""
"44","Jefferson","None, Federalist","Postmaster General","Gideon Granger","Granger","1801-11-28","1809-03-03","","","","Yale University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"45","Madison","Democratic-Republican","President","James Madison","Madison","1809-03-04","1817-03-03","","","","Princeton University (BA)","2","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"46","Madison","Democratic-Republican","Vice President","George Clinton","Clinton","1809-03-04","1813-03-03","","","","read law","","","","1","","brig. gen.","Revolutionary War","Militia/National Guard","1","0","0","0","eo","eo","","","","","","","","","","",""
"47","Madison","Democratic-Republican","Vice President","Elbridge Gerry","Gerry","1813-03-04","1817-03-03","","","","Harvard University (grad.)","1","1","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"48","Madison","Democratic-Republican","Secretary of State","Robert Smith","Smith","1809-03-04","1811-04-01","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"49","Madison","Democratic-Republican","Secretary of State","James Monroe","Monroe","1811-04-01","1817-03-03","","","","College of William and Mary","","","","1","","lt. col.","Revolutionary War","Army","1","0","0","0","30","0","","","","","","","","","","",""
"50","Madison","Democratic-Republican","Secretary of the Treasury","Albert Gallatin","Gallatin","1809-03-04","1814-02-09","","","","University of Geneva (grad.)","1","","","","","","","","1","1","0","0","pa","pa","","","","","","","","","","",""
"51","Madison","Democratic-Republican","Secretary of the Treasury","George W. Campbell","Campbell","1814-02-09","1814-10-06","","","","Princeton University (BA)","1","","","1","","","","","1","1","0","0","nr","nr","","","","","","","","","","",""
"52","Madison","Democratic-Republican","Secretary of the Treasury","Alexander J. Dallas","Dallas","1814-10-14","1816-10-22","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","Incorrectly dated as 1814 in Grossman","","","","","","","","","",""
"53","Madison","Democratic-Republican","Secretary of the Treasury","William H. Crawford","Crawford","1816-10-22","1817-03-03","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","Incorrectly dated as 1814 in Grossman","","","","","","","","","",""
"54","Madison","Democratic-Republican","Secretary of War","William Eustis","Eustis","1809-04-08","1812-12-31","","","","Harvard University (grad.); studied medicine independently","1","","1","","","physician; surgeon","Revolutionary War; Revolutionary War","Army; Militia/National Guard","1","0","0","0","nr","nr","","","","","","","","","","",""
"55","Madison","Democratic-Republican","Secretary of War","John Armstrong","Armstrong","1813-02-05","1814-08-30","","","","College of New Jersey","","","","","","brig. gen.","War of 1812","Army","1","0","0","0","18","15","","","","","","","","","","",""
"56","Madison","Democratic-Republican","Secretary of War","James Monroe","Monroe","1814-09-27","1815-03-02","","","","College of William and Mary","","","","1","","lt. col.","Revolutionary War","Army","1","0","0","0","30","0","Secretary of War service not listed in Grossman","","","","","","","","","",""
"57","Madison","Democratic-Republican","Secretary of War","William H. Crawford","Crawford","1815-08-01","1816-10-22","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"58","Madison","Democratic-Republican","Attorney General","Caesar A. Rodney","Rodney","1809-03-04","1811-12-05","","","","University of Pennsylvania (grad.)","1","","","1","","capt.","1813-1814","Militia/National Guard","1","0","0","0","pa","pa","","","","","","","","","","",""
"59","Madison","Democratic-Republican","Attorney General","William Pinckney","Pinckney","1812-01-06","1814-02-10","","","","read law","1","","","1","","","","","1","0","0","0","nr","nr","Sometimes spelled William Pinkney","","","","","","","","","",""
"60","Madison","Democratic-Republican","Attorney General","Richard Rush","Rush","1814-02-11","1817-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","23","6","","","","","","","","","","",""
